gene	day	TPM
BB_0001	day1	78.044216
BB_0001	day1	99.162874
BB_0001	day1	49.262856
BB_0001	day1	85.074621
BB_0001	day2	60.110147
BB_0001	day2	84.965615
BB_0001	day2	74.814889
BB_0001	day2	87.689615
BB_0001	day3	163.675026
BB_0001	day3	73.004879
BB_0001	day3	133.324677
BB_0001	day3	153.022257
BB_0001	day4	89.634006
BB_0001	day4	98.298622
BB_0001	day4	75.770531
BB_0001	day4	95.59266
BB_0002	day1	192.66615
BB_0002	day1	176.603304
BB_0002	day1	204.874311
BB_0002	day1	182.618586
BB_0002	day2	170.053148
BB_0002	day2	147.158314
BB_0002	day2	169.507982
BB_0002	day2	176.248497
BB_0002	day3	208.632229
BB_0002	day3	181.80681
BB_0002	day3	239.594722
BB_0002	day3	216.268113
BB_0002	day4	261.441199
BB_0002	day4	257.458686
BB_0002	day4	206.063773
BB_0002	day4	259.033675
BB_0003	day1	239.625014
BB_0003	day1	201.614058
BB_0003	day1	201.054419
BB_0003	day1	227.373572
BB_0003	day2	229.01497
BB_0003	day2	229.352755
BB_0003	day2	237.62184
BB_0003	day2	244.860895
BB_0003	day3	228.515405
BB_0003	day3	249.573945
BB_0003	day3	254.398838
BB_0003	day3	257.782151
BB_0003	day4	307.679916
BB_0003	day4	270.640747
BB_0003	day4	262.052773
BB_0003	day4	324.153532
BB_0004	day1	145.327192
BB_0004	day1	157.56975
BB_0004	day1	169.132201
BB_0004	day1	153.88613
BB_0004	day2	152.723229
BB_0004	day2	137.945726
BB_0004	day2	162.283561
BB_0004	day2	145.045895
BB_0004	day3	174.027551
BB_0004	day3	175.314886
BB_0004	day3	172.874368
BB_0004	day3	189.261761
BB_0004	day4	193.675052
BB_0004	day4	195.210504
BB_0004	day4	186.697048
BB_0004	day4	208.101232
BB_0005	day1	238.141924
BB_0005	day1	235.828523
BB_0005	day1	254.137263
BB_0005	day1	208.379844
BB_0005	day2	253.637673
BB_0005	day2	253.150253
BB_0005	day2	215.359109
BB_0005	day2	197.115412
BB_0005	day3	246.901669
BB_0005	day3	190.714902
BB_0005	day3	233.304174
BB_0005	day3	249.262803
BB_0005	day4	290.096121
BB_0005	day4	304.238305
BB_0005	day4	260.014498
BB_0005	day4	268.600097
BB_0006	day1	443.63422
BB_0006	day1	452.950812
BB_0006	day1	441.981911
BB_0006	day1	463.699492
BB_0006	day2	457.898404
BB_0006	day2	530.039409
BB_0006	day2	459.930143
BB_0006	day2	446.911426
BB_0006	day3	436.357037
BB_0006	day3	476.072871
BB_0006	day3	458.121728
BB_0006	day3	520.107362
BB_0006	day4	643.696551
BB_0006	day4	576.60386
BB_0006	day4	634.599429
BB_0006	day4	542.437759
BB_0007	day1	640.360906
BB_0007	day1	578.400011
BB_0007	day1	619.788931
BB_0007	day1	626.99633
BB_0007	day2	540.108182
BB_0007	day2	590.874516
BB_0007	day2	589.314748
BB_0007	day2	602.667543
BB_0007	day3	597.36898
BB_0007	day3	603.655594
BB_0007	day3	659.39396
BB_0007	day3	674.303149
BB_0007	day4	870.900192
BB_0007	day4	759.897304
BB_0007	day4	767.542023
BB_0007	day4	771.735439
BB_0008	day1	63.986291
BB_0008	day1	77.908594
BB_0008	day1	55.027805
BB_0008	day1	63.691976
BB_0008	day2	61.40947
BB_0008	day2	57.99266
BB_0008	day2	77.513229
BB_0008	day2	84.759334
BB_0008	day3	73.876069
BB_0008	day3	83.630971
BB_0008	day3	85.684421
BB_0008	day3	102.740669
BB_0008	day4	88.471204
BB_0008	day4	69.949679
BB_0008	day4	82.978299
BB_0008	day4	94.835098
BB_0009	day1	62.847404
BB_0009	day1	71.579115
BB_0009	day1	57.561522
BB_0009	day1	57.041701
BB_0009	day2	55.075526
BB_0009	day2	42.715079
BB_0009	day2	64.144061
BB_0009	day2	56.434028
BB_0009	day3	59.522561
BB_0009	day3	59.373611
BB_0009	day3	61.043528
BB_0009	day3	100.631161
BB_0009	day4	79.149765
BB_0009	day4	82.232591
BB_0009	day4	53.838978
BB_0009	day4	84.178751
BB_0010	day1	859.038643
BB_0010	day1	754.546758
BB_0010	day1	702.274021
BB_0010	day1	818.510239
BB_0010	day2	978.085709
BB_0010	day2	626.189752
BB_0010	day2	791.729893
BB_0010	day2	840.392974
BB_0010	day3	620.888385
BB_0010	day3	894.299535
BB_0010	day3	750.189705
BB_0010	day3	884.24629
BB_0010	day4	788.98823
BB_0010	day4	1088.748364
BB_0010	day4	896.951655
BB_0010	day4	1256.332891
BB_0011	day1	321.403708
BB_0011	day1	371.126309
BB_0011	day1	323.373386
BB_0011	day1	319.028284
BB_0011	day2	310.796667
BB_0011	day2	227.831346
BB_0011	day2	321.945592
BB_0011	day2	275.747835
BB_0011	day3	339.935671
BB_0011	day3	330.144924
BB_0011	day3	347.594529
BB_0011	day3	371.276454
BB_0011	day4	364.260912
BB_0011	day4	413.645818
BB_0011	day4	313.518084
BB_0011	day4	372.892826
BB_0012	day1	198.460639
BB_0012	day1	235.880557
BB_0012	day1	219.952517
BB_0012	day1	228.568686
BB_0012	day2	125.20673
BB_0012	day2	166.434007
BB_0012	day2	200.84158
BB_0012	day2	152.186918
BB_0012	day3	212.950717
BB_0012	day3	224.954432
BB_0012	day3	226.190499
BB_0012	day3	254.201413
BB_0012	day4	198.013615
BB_0012	day4	236.680717
BB_0012	day4	208.64168
BB_0012	day4	184.863229
BB_0013	day1	149.078088
BB_0013	day1	213.560757
BB_0013	day1	153.773159
BB_0013	day1	176.897598
BB_0013	day2	202.150176
BB_0013	day2	106.99749
BB_0013	day2	161.746769
BB_0013	day2	112.988689
BB_0013	day3	187.99375
BB_0013	day3	168.957848
BB_0013	day3	190.280572
BB_0013	day3	219.966835
BB_0013	day4	178.243829
BB_0013	day4	237.374835
BB_0013	day4	152.043426
BB_0013	day4	201.562249
BB_0014	day1	122.523383
BB_0014	day1	163.463469
BB_0014	day1	144.416722
BB_0014	day1	142.834673
BB_0014	day2	93.483482
BB_0014	day2	87.124486
BB_0014	day2	112.626875
BB_0014	day2	100.674633
BB_0014	day3	175.728793
BB_0014	day3	146.337764
BB_0014	day3	146.491285
BB_0014	day3	138.744472
BB_0014	day4	95.140307
BB_0014	day4	109.827692
BB_0014	day4	92.999395
BB_0014	day4	93.977601
BB_0015	day1	820.794267
BB_0015	day1	844.983659
BB_0015	day1	940.440681
BB_0015	day1	854.001302
BB_0015	day2	650.360819
BB_0015	day2	736.667254
BB_0015	day2	733.855148
BB_0015	day2	665.200487
BB_0015	day3	806.323658
BB_0015	day3	778.368866
BB_0015	day3	760.903302
BB_0015	day3	832.80109
BB_0015	day4	647.795986
BB_0015	day4	701.827831
BB_0015	day4	742.324558
BB_0015	day4	764.726207
BB_0016	day1	1615.88924
BB_0016	day1	1381.859741
BB_0016	day1	1603.23681
BB_0016	day1	1605.704315
BB_0016	day2	1461.824007
BB_0016	day2	1449.404828
BB_0016	day2	1534.693579
BB_0016	day2	1369.469587
BB_0016	day3	1340.957408
BB_0016	day3	1471.732976
BB_0016	day3	1345.46487
BB_0016	day3	1323.315066
BB_0016	day4	1256.958568
BB_0016	day4	1441.375932
BB_0016	day4	1478.645189
BB_0016	day4	1450.108639
BB_0017	day1	97.910173
BB_0017	day1	110.001749
BB_0017	day1	112.873897
BB_0017	day1	74.688519
BB_0017	day2	135.185021
BB_0017	day2	104.192708
BB_0017	day2	134.848541
BB_0017	day2	110.551568
BB_0017	day3	122.734325
BB_0017	day3	119.775107
BB_0017	day3	136.786578
BB_0017	day3	142.557604
BB_0017	day4	194.932379
BB_0017	day4	184.069169
BB_0017	day4	138.352551
BB_0017	day4	168.747746
BB_0018	day1	260.088253
BB_0018	day1	271.479713
BB_0018	day1	287.083741
BB_0018	day1	304.4638
BB_0018	day2	246.12105
BB_0018	day2	258.166596
BB_0018	day2	225.891729
BB_0018	day2	237.306661
BB_0018	day3	341.121444
BB_0018	day3	375.501733
BB_0018	day3	274.559593
BB_0018	day3	363.181238
BB_0018	day4	314.798346
BB_0018	day4	304.145302
BB_0018	day4	282.888932
BB_0018	day4	362.811986
BB_0019	day1	479.47485
BB_0019	day1	512.452648
BB_0019	day1	481.987065
BB_0019	day1	433.637247
BB_0019	day2	550.650477
BB_0019	day2	667.171731
BB_0019	day2	593.807473
BB_0019	day2	568.46312
BB_0019	day3	523.020867
BB_0019	day3	663.861048
BB_0019	day3	670.271163
BB_0019	day3	706.427758
BB_0019	day4	968.552344
BB_0019	day4	626.897748
BB_0019	day4	850.631338
BB_0019	day4	809.007724
BB_0020	day1	1101.539703
BB_0020	day1	1019.795007
BB_0020	day1	1070.124481
BB_0020	day1	1011.42301
BB_0020	day2	1054.016725
BB_0020	day2	1267.752642
BB_0020	day2	1111.457142
BB_0020	day2	1121.566721
BB_0020	day3	1016.962843
BB_0020	day3	1083.857557
BB_0020	day3	1133.964344
BB_0020	day3	1170.93803
BB_0020	day4	1520.500699
BB_0020	day4	1325.710292
BB_0020	day4	1431.374755
BB_0020	day4	1545.163108
BB_0021	day1	378.520083
BB_0021	day1	390.989912
BB_0021	day1	409.772915
BB_0021	day1	443.385195
BB_0021	day2	393.972103
BB_0021	day2	428.996566
BB_0021	day2	453.283314
BB_0021	day2	409.041919
BB_0021	day3	422.644876
BB_0021	day3	484.768545
BB_0021	day3	453.269327
BB_0021	day3	494.41968
BB_0021	day4	415.61985
BB_0021	day4	451.585827
BB_0021	day4	479.075657
BB_0021	day4	484.774483
BB_0022	day1	400.681956
BB_0022	day1	395.172637
BB_0022	day1	386.330867
BB_0022	day1	436.791319
BB_0022	day2	413.188485
BB_0022	day2	406.293798
BB_0022	day2	407.660568
BB_0022	day2	429.738435
BB_0022	day3	324.51401
BB_0022	day3	417.259428
BB_0022	day3	347.715276
BB_0022	day3	376.573474
