gene	symbol	lipo_annote	day1_avg_TPM	day2_avg_TPM	day3_avg_TPM	day4_1_TPM
BB_0001	BB_0001	NA	77.88614175	76.8950665	130.7567098	89.634006
BB_0002	BB_0002	NA	189.1905878	165.7419853	211.5754685	261.441199
BB_0003	BB_0003	NA	217.4167658	235.212615	247.5675848	307.679916
BB_0004	BB_0004	NA	156.4788183	149.4996028	177.8696415	193.675052
BB_0005	trpS	NA	234.1218885	229.8156118	230.045887	290.096121
BB_0006	BB_0006	NA	450.5666088	473.6948455	472.6647495	643.696551
BB_0007	BB_0007	NA	616.3865445	580.7412473	633.6804208	870.900192
BB_0008	BB_0008	NA	65.1536665	70.41867325	86.4830325	88.471204
BB_0009	BB_0009	NA	62.2574355	54.5921735	70.14271525	79.149765
BB_0010	BB_0010	NA	783.5924153	809.099582	787.4059788	788.98823
BB_0011	BB_0011	NA	333.7329218	284.08036	347.2378945	364.260912
BB_0012	truA	NA	220.7155998	161.1673088	229.5742653	198.013615
BB_0013	BB_0013	NA	173.3274005	145.970781	191.7997513	178.243829
BB_0014	priA	NA	143.3095618	98.477369	151.8255785	95.140307
BB_0015	udk	NA	865.0549773	696.520927	794.599229	647.795986
BB_0016	BB_0016	NA	1551.672527	1453.848	1370.36758	1256.958568
BB_0017	BB_0017	NA	98.8685845	121.1944595	130.4634035	194.932379
BB_0018	BB_0018	NA	280.7788768	241.871509	338.591002	314.798346
BB_0019	BB_0019	NA	476.8879525	595.0232003	640.895209	968.552344
BB_0020	BB_0020	NA	1050.72055	1138.698308	1101.430694	1520.500699
BB_0021	queA	NA	405.6670263	421.3234755	463.775607	415.61985
BB_0022	ruvB	NA	404.7441948	414.2203215	366.515547	397.733043
BB_0023	ruvA	NA	537.544917	541.9044525	456.3115303	502.529291
BB_0024	BB_0024	NA	639.6788055	706.8824253	649.962143	720.397367
BB_0025	BB_0025	NA	561.3932768	551.1837058	539.1191378	591.978003
BB_0026	BB_0026	NA	697.883574	633.1819105	567.740552	561.92619
BB_0027	BB_0027	NA	2461.176665	2429.564842	2475.22042	1958.64147
BB_0028	BB_0028	P	950.549895	981.7240463	1047.693869	874.811386
BB_0029	BB_0029	NA	87.926842	97.2128815	112.433814	112.650355
BB_0030	lepB	NA	181.5098435	141.183379	127.5987338	98.628919
BB_0031	lepB	NA	433.0339203	367.5535805	331.925245	398.522443
BB_0032	BB_0032	NA	165.899953	166.8250183	145.839573	278.532225
BB_0033	smpB	NA	188.7441855	177.9835665	161.636993	293.650364
BB_0034	BB_0034	NA	13650.81302	14518.93563	13235.6377	14829.7398
BB_0035	BB_0035	NA	939.7425623	816.8185163	839.899604	706.517423
BB_0036	BB_0036	NA	1042.578326	887.6277348	961.2951533	966.408996
BB_0037	BB_0037	NA	736.631405	672.7476495	718.3806683	710.922651
BB_0038	BB_0038	NA	502.727137	420.625119	396.1249903	332.334694
BB_0039	BB_0039	NA	1067.785035	910.5668935	809.3399618	947.272001
BB_0040	cheR	NA	106.2254415	197.5153703	205.1192575	275.399195
BB_0042	phoU	NA	588.825859	535.150532	491.8153095	545.020324
BB_0043	BB_0043	NA	455.43755	457.1597188	393.6695325	389.911811
BB_0044	BB_0044	NA	264.1543753	283.0449388	281.6095955	304.350386
BB_0045	BB_0045	NA	108.51728	99.047459	116.8528213	104.784694
BB_0046	rnhB	NA	288.0032455	243.4013548	278.6319248	205.040473
BB_0047	BB_0047	NA	2374.664958	2187.952221	2236.456996	3278.932467
BB_0048	BB_0048	NA	883.2960983	1042.685397	1236.300559	1224.914394
BB_0050	BB_0050	NA	202.2023005	241.7608008	238.4906363	291.746865
BB_0051	BB_0051	NA	156.79163	176.6646908	197.5120143	216.645021
