,day1_aBb_1.counts.txt,day1_aBb_2.counts.txt,day1_aBb_3.counts.txt,day1_aBb_4.counts.txt,day2_aBb_1.counts.txt,day2_aBb_2.counts.txt,day2_aBb_3.counts.txt,day2_aBb_4.counts.txt,day3_aBb_1.counts.txt,day3_aBb_2.counts.txt,day3_aBb_3.counts.txt,day3_aBb_4.counts.txt,day4_aBb_1.counts.txt,day4_aBb_2.counts.txt,day4_aBb_3.counts.txt,day4_aBb_4.counts.txt
BB_0001,97.7408740615484,120.836318338097,57.879135603785,101.653265231834,78.71943906441,116.450052326407,99.2294722452993,120.057433655029,203.114430298985,93.0476117980899,165.320911606134,200.096034073117,112.780999208355,132.50009398348,100.520363294544,125.804063863519
BB_0002,866.134514760798,783.368527629109,895.107562244582,838.886169388922,801.212920888447,741.045787531681,798.076353699373,835.20724278282,914.014936345433,826.001606488307,1063.97411016785,986.438343413083,1156.72819700877,1213.98734757837,985.658006749283,1221.59273228221
BB_0003,1683.39859249082,1366.41524995247,1354.10256784669,1598.81834636477,1683.30197780197,1778.50989007603,1748.81343392998,1813.55988723125,1577.81644406168,1759.74255295335,1746.48138713642,1857.03161446805,2128.37988249613,2046.5892895016,1901.51020565513,2346.7748735662
BB_0004,1021.01620750448,1075.58106931363,1134.70026311606,1074.76122172298,1129.0308589101,1073.12344871129,1207.71596989151,1088.0204924987,1218.68658179391,1250.42930942696,1216.44914012892,1383.11995482119,1372.16882370165,1495.10241184062,1391.92780839807,1540.21797814215
BB_0005,1239.80539482687,1218.93061806453,1321.79793402132,1138.91134055861,1436.3601758054,1527.78011233975,1191.60178209099,1092.63808610081,1274.61664231102,1038.21545795763,1224.82688902787,1336.31386497953,1535.55668152914,1670.57550927821,1449.16857082968,1470.84938218002
BB_0006,2020.98053444186,1999.08296992038,1918.08763338125,2097.21542347231,2201.98759684281,2668.87918968177,2220.365455882,2163.34260259158,1973.74239877492,2205.39164103894,2057.57512958445,2465.51078240969,2946.76508187983,2866.65743875071,3035.1565250325,2584.27413431789
BB_0007,2292.39942318201,2046.40669915546,2145.56609656822,2319.27352713408,2029.45183998931,2382.49006577855,2213.58053470283,2285.1316338474,2100.32095678733,2203.75922679687,2339.06749258948,2470.19139139385,3092.80201675219,2895.30610772011,2871.81093467886,2848.81539010567
BB_0008,162.40022151765,195.26781480491,137.294693757816,166.790308972621,169.300711412498,167.71036244138,208.636326259347,231.456879306089,188.395993320798,222.008336921758,218.37998796621,272.645473327697,229.899729155492,189.797431922283,224.774701255856,251.608127727038
BB_0009,199.241012510079,219.159406263393,172.291380401965,175.672633119092,184.39759013718,147.651980222478,214.573132291117,192.207333688099,189.867837018616,190.992466322395,192.129708082804,334.663542367903,255.92611358819,288.277231504599,180.098984236059,279.825861677734
BB_0010,875.156749289557,787.04415708426,738.968498755302,909.94476256069,1133.34425283144,782.276906537203,876.10294725978,941.4118956315,631.420946364236,999.037516147912,779.130647603231,943.142710309544,841.519763323878,1160.27109326075,982.865774435546,1336.81514591422
BB_0011,1202.96460383444,1365.95579627058,1184.50324026351,1238.59075598011,1251.96258566822,975.61742403607,1280.65387256754,1103.60487090584,1276.08848600884,1289.60725123668,1310.27992779726,1447.47832835348,1402.53293887313,1679.52821833114,1255.10842502494,1479.07955458231
BB_0012,511.259956629638,592.235795961244,545.140695803091,587.220318572246,343.993165226668,478.058109550513,547.03427007024,419.046619392072,546.05401189075,594.198784114118,573.596541282092,684.539063934346,517.635868161423,662.500469917402,564.030927374944,492.634605222565
BB_0013,230.066980483337,318.86085523437,222.094357549408,265.482799488965,332.13133194299,182.196971821699,266.308156282256,188.744138486512,294.368739563746,270.980764183911,291.54566168379,361.57704402686,281.952498020887,408.243532813967,251.300908236361,325.679679347614
BB_0014,1037.55697080721,1329.19950171907,1157.5827120757,1182.3360363858,826.014935936138,805.121175175398,1000.77587392695,905.625545215097,1483.61844740128,1253.69413791111,1233.7631545201,1222.80909711349,811.155648152398,1020.60883203492,830.68911333686,835.950368289364
BB_0015,1950.30636396659,2005.97477514879,2187.29291525932,2127.81009553237,1647.71647795094,2002.49515818711,1826.84002749038,1680.22687197014,1869.24149622979,1893.60052080323,1802.33304646281,2015.00216768366,1529.77304054409,1776.21747610287,1884.75681177271,1901.16982492813
BB_0016,1617.98739215732,1417.87406232459,1659.6505627783,1775.47790438903,1675.75353843963,1791.32496760478,1669.93872522217,1508.79870949156,1340.84960871287,1617.72251389311,1373.95081942935,1387.80056380536,1318.67014458999,1509.42674632532,1592.96853498716,1516.7031998499
BB_0017,320.28932577092,357.454964513458,362.081104126004,252.65277572184,473.394982866795,391.138453268601,462.222755330668,380.951472174611,390.038579921964,401.573903549651,445.696241424644,471.571355154772,630.416867369778,624.899091895063,470.491144864743,565.530417928529
BB_0018,1054.84958698733,1075.12161563174,1117.20191979399,1244.5123054111,1039.52793504235,1162.27181412864,954.977655967582,1009.52140126272,1346.73698350414,1529.57214482123,1085.19774071188,1505.98594065556,1266.6173757246,1325.0009398348,1183.90650102463,1502.59433287455
BB_0019,684.186118430839,725.936817392371,675.705257513955,634.592714020091,865.91382970851,1085.38134895618,904.090747123838,885.423573205837,755.05581698101,999.037516147912,953.946341294852,1069.51915288204,1428.55932330583,972.264203149052,1267.67347043676,1194.55073724612
BB_0020,9501.1648116599,8580.75696305058,8987.41833549936,8954.36966454787,9622.10349002371,12360.9780423988,10093.4183691565,10172.5587054626,8557.29925911811,9463.10536128995,9669.03926258576,10318.402505595,13079.7040876766,12232.9816499343,12921.0550318196,13837.2712860725
BB_0021,1700.69120867094,1699.05971564366,1775.40883398587,2003.45755748178,1869.85626489982,2152.93302482888,2147.42755320597,1945.16130489157,1863.35412143851,2197.22956982858,2013.45231871659,2285.30733651928,1866.6701279229,2182.67046710625,2237.97419946048,2257.41871605567
BB_0022,1974.36565604328,1947.62415754827,1905.97339569673,2300.52195393597,2201.98759684281,2366.88910183051,2127.07278966847,2237.22410022544,1557.21063229222,2140.09507135607,1716.32149110016,1903.83770430971,1982.34294762377,1552.39974977943,1803.78207467433,1838.85566245368
BB_0023,1098.45705387632,1173.44470355703,1181.81118744473,1246.48615522142,1275.68625223558,1361.18410446609,1275.56518168316,1245.59587417092,793.323753124297,1168.80859732337,926.020511631653,1135.04767866037,1091.66223592702,1009.86558117139,1185.3026171815,1142.81822500318
BB_0024,3796.85703085246,3780.84434830495,3867.13387417847,3517.40036200249,4135.46642208236,4729.32078539016,4694.31734083532,4417.88267882495,3488.2695638304,3845.96795432105,3891.18510527004,4254.67356660732,4291.46161090253,4046.62449192792,4989.71914464864,4867.55910649503
