,baseMean,log2FoldChange,lfcSE,pvalue,padj
BB_A07,1133.87941581764,1.94833113043513,0.169802271461975,7.67667070312869e-32,9.15826814883253e-29
BB_A30,2038.846492311,0.749369061395773,0.0766388666851761,1.36681840568637e-23,7.85992602547206e-21
BB_A65,3785.02337137397,1.9205660223598,0.19838080503728,1.97651115477084e-23,7.85992602547206e-21
BB_A38,1776.69497897486,-0.997024432936982,0.108352474061229,2.38536465677322e-21,7.11435008882612e-19
BB_0241,40577.397088239,1.06171286985192,0.119172529911566,4.39390194099535e-20,1.04838500312149e-17
BB_0240,18585.9115725939,1.0658117785523,0.120730104918253,6.25603102048913e-20,1.24390750124059e-17
BB_B06,1489.9212224985,0.795710186443926,0.0923201876206952,6.54167552754332e-19,1.11488841490845e-16
BB_M28,609.318100117104,1.80471075398356,0.213900672235919,1.61925345438771e-18,2.41471171385567e-16
BB_0323,15359.6932498108,0.555588427233131,0.0659445230717688,5.28487656433268e-18,7.00539749027653e-16
BB_A66,29571.9900362246,1.69483621133975,0.206303483999104,5.92964919026539e-18,7.07407148398661e-16
BB_A41,759.742801904473,-0.992324817315475,0.119812198517017,8.32067060047638e-18,9.02414547851665e-16
BB_A62,11475.2023760617,0.662446484911478,0.081278396503927,4.06406501042015e-17,4.04035796452603e-15
BB_A40,591.032546609773,-0.879545974555031,0.110383168214483,1.20400357949226e-16,1.10490482333405e-14
BB_A05,1231.94657371867,1.69106171709178,0.225077627514339,3.01230289142533e-15,2.56691239247887e-13
BB_0243,32708.4971313731,1.19456558227323,0.165731351242045,3.52903491509174e-14,2.80675910246963e-12
BB_A74,11720.9469536941,1.16987618086474,0.166338112211688,1.27398942663482e-13,9.49918366234585e-12
BB_H32,501.394731143227,1.22641316429305,0.17643876799687,2.21798267172852e-13,1.55650195727772e-11
BB_E31,2818.76658628085,1.80434673382854,0.264971245155235,4.7917413761987e-13,3.1758597010028e-11
BB_A04,1587.74470508506,1.41525717855542,0.208516758506505,6.33280720665843e-13,3.97633631449658e-11
BB_0579,12276.9887480625,-0.517636406712315,0.0761113875861848,1.52084520168246e-12,9.07184162803588e-11
BB_A16,106946.113406381,0.496575557445251,0.0740602882747797,1.84221288121787e-12,1.04655236537758e-10
BB_B05,1835.44888968718,0.642387245463545,0.0964405603716263,2.98486491122171e-12,1.61861083594887e-10
BB_A59,8616.55842427289,0.575772490239634,0.0874023013848111,5.61849731050184e-12,2.91429012670813e-10
BB_0681,11071.410905234,1.09143047596027,0.170980087753201,1.12017886159571e-11,5.56822242451533e-10
BB_0238,10622.2006092603,0.494693603075859,0.0765912540380769,1.64366204837463e-11,7.84355529484373e-10
BB_I42,423.028234955862,1.45517649914613,0.230903850381132,2.14954455922143e-11,9.86310253519678e-10
BB_B07,10542.7346279589,0.604723610330769,0.0952269142534329,2.53097234780822e-11,1.09144775012717e-09
BB_A64,6917.48553084612,1.16605499589191,0.186496566982401,2.56165440096905e-11,1.09144775012717e-09
BB_0638,3024.77357690288,0.605201521818174,0.0975407584034644,4.11834884026333e-11,1.69420350566695e-09
BB_0418,3102.05699105955,0.683457816376715,0.116246070420872,4.05071154676136e-10,1.61083295842877e-08
BB_0242,679.144576516805,1.59385092103395,0.277835559253712,4.58456558124999e-10,1.76431830271975e-08
BB_0726,1961.60886698813,-0.430124012698319,0.0764357321247272,3.5179630465888e-09,1.31154059830639e-07
BB_P28,652.124114730278,1.48257995326405,0.277675111614298,4.69844941983746e-09,1.69856065389882e-07
BB_0512,6068.20827971463,-0.446452579734585,0.080729099584072,5.80110225506196e-09,2.03550440890851e-07
BB_0844,2569.12790680175,1.34773092640811,0.254984727612984,6.75226246486190e-09,2.30155689159435e-07
BB_D18,550.994362910208,-0.715219762024235,0.133418881119312,7.37662724733885e-09,2.44453230724312e-07
BB_B08,489.790413908651,0.669082989048162,0.124550325991354,7.7303222094821e-09,2.49250659348977e-07
BB_0040,552.69225682298,0.965973064950332,0.18355669863798,9.78935008626318e-09,3.07334069813473e-07
BB_A15,108032.879027352,0.454648019521134,0.0847401170530219,1.44629372953153e-08,4.42417543418234e-07
BB_0843,16778.1365697425,0.564894171294105,0.106925518842653,1.59392123652524e-08,4.75387008793653e-07
BB_0685,1405.27817144923,-0.562016112388872,0.107610278228343,2.33934516232385e-08,6.64485423488656e-07
BB_B19,37091.2925493387,1.50003814345555,0.297227770075787,2.28699922920165e-08,6.64485423488656e-07
BB_0680,13930.0406199754,0.904592482825957,0.178922248314084,3.14203243307443e-08,8.55891556345247e-07
BB_0752,2606.47548764136,-0.435357517951935,0.0832529461526143,3.15668302424064e-08,8.55891556345247e-07
BB_0581,2461.57966836579,-0.435993908740738,0.0854320388588557,6.18268182579934e-08,1.63909764848414e-06
BB_J23,761.522020232732,1.25751173403254,0.259088477240596,6.71268695916052e-08,1.73872835909212e-06
BB_A73,5582.5582586309,1.36778654518285,0.282927903697934,6.84997760916425e-08,1.73872835909212e-06
BB_0689,320.850412642903,0.849404521185448,0.174600738957401,8.63545334079966e-08,2.14626996574458e-06
BB_0295,3105.56515129157,-0.516455696400006,0.105989655057881,1.42019195502482e-07,3.45773265784614e-06
BB_0631,14061.2027026983,0.487018366847874,0.100133397244794,1.56049845769382e-07,3.72334932005745e-06
BB_O40,2794.78733268634,1.0630990510745,0.22943508893337,2.08625399176405e-07,4.88019806308728e-06
BB_B09,466.006077679433,0.754626362665105,0.161002271527747,2.26173000495127e-07,5.18893056905167e-06
BB_0098,1455.5377572276,-0.596397788702318,0.128120179200054,3.4605947264622e-07,7.61146290103892e-06
BB_0637,3834.24418379128,0.435438242343806,0.0913673589862444,3.50905666016044e-07,7.61146290103892e-06
BB_B04,28870.6944061201,0.811574697371262,0.171089788961078,3.4606557344129e-07,7.61146290103892e-06
BB_0072,1934.77110774341,-0.427876289170162,0.0898866259753164,3.60587653004295e-07,7.68180482203792e-06
BB_0603,53196.6067673909,0.541988406484699,0.115837169262048,3.76668381962086e-07,7.74767896001326e-06
BB_K32,426.309770290634,0.897178942727808,0.197589623870664,3.7514478845966e-07,7.74767896001326e-06
BB_A33,312.428563636881,1.27697367055759,0.284970043407535,3.89574179481465e-07,7.87732196815912e-06
BB_0629,9531.88790881154,0.41592970855011,0.0878913324935808,4.38429244989444e-07,8.71743482120677e-06
BB_L28,250.602389406347,0.830748437287037,0.184219946478096,4.78493475937984e-07,9.35176672947179e-06
BB_A24,656.74287214998,0.959263113985543,0.214412753688554,4.86009670768861e-07,9.35176672947179e-06
BB_0297,1829.5257242252,-0.421192589002913,0.0896881659966906,5.23941217943157e-07,9.61633650778748e-06
BB_0712,7687.72314375525,-0.403996651633849,0.08552252819878,5.22854787516506e-07,9.61633650778748e-06
BB_A39,515.515384569144,-0.728159529791919,0.161129798840631,5.11397139382164e-07,9.61633650778748e-06
BB_0690,6195.27383627225,0.480712648880596,0.105375711768647,8.06076801136811e-07,1.45049928882028e-05
BB_S30,390.390451106167,0.810268240264122,0.183960953388558,8.14614018029828e-07,1.45049928882028e-05
BB_J46,71.9359545544214,1.77925560594789,0.418218821209193,1.03073784099939e-06,1.80833859457688e-05
BB_0842,14380.9131995866,0.497568601388385,0.111531588536218,1.20554684160547e-06,2.08437301744249e-05
BB_0841,12442.2265819297,0.55951439985495,0.127769421240935,1.47483510701251e-06,2.51354040380846e-05
BB_L27,479.072397927538,0.672285461615583,0.156217382719459,1.56780511294585e-06,2.63435422499212e-05
BB_N28,206.323854085098,0.813706755228512,0.192868477989346,1.75448683805449e-06,2.90708721916529e-05
BB_0642,1515.19029616519,-0.441979904222084,0.100506257346815,1.93723656620078e-06,3.16592222394182e-05
BB_A31,1960.50115460708,0.501773062898675,0.115827869810885,2.16276297007305e-06,3.48672462607723e-05
BB_0296,1047.04427769604,-0.490658394367686,0.113678735957922,2.34547214838444e-06,3.73086436403018e-05
BB_0818,1551.92422333471,-0.509614726524405,0.119638236495755,2.83625110520235e-06,4.4521678532979e-05
BB_0707,2793.26691562467,0.36844721909404,0.0840225043180054,2.88122697235584e-06,4.46403088054612e-05
BB_I43,55.771743763364,1.6374601639604,0.410867803766322,3.72680325536475e-06,5.70009779955148e-05
BB_J48,352.146026033491,0.99752469295198,0.251666853654535,4.52839060733036e-06,6.83844303106977e-05
BB_E22,673.42303087313,0.534787421133774,0.129410861643253,4.64534582229132e-06,6.92737195749193e-05
BB_0237,2797.14074722907,0.306881714751148,0.0711626176216767,5.53974078346548e-06,8.15914907984484e-05
BB_O39,397.521417822229,1.36710208909943,0.359303229070377,6.86634891029388e-06,9.98970030485438e-05
BB_0369,2165.03075121881,-0.411241416249453,0.0996199471183802,7.01547781883026e-06,0.000100836928167042
BB_0447,3118.26867416268,-0.329446043098038,0.0781569142939871,7.19453739254029e-06,0.000102179560825007
BB_B22,5058.71463061068,0.340099555641355,0.0818337667258194,9.51643667389363e-06,0.00013356598767006
