gene	symbol	category	lipo_annote	rpos_annote_caimano	rpos_annote_grassmann	rrp1_annote	rel_recov_annote	rel_starve_annote	rel_station_annote	unreg	baseMean	log2fc_12	padj_12	log2fc_13	padj_13	log2fc_1e	padj_1e	log2fc_23	padj_23	log2fc_3e	padj_3e
BB_A07	BB_A07	CE	S	up	up-nymphs-DMCs	up	NA	up	NA	FALSE	1133.879416	1.94833113	9.16E-29	2.255851584	8.81E-39	3.011009537	1.34E-69	0.171069829	0.189994501	0.687856932	4.51E-05
BB_A30	BB_A30	NA	NA	NA	NA	up	NA	NA	NA	FALSE	2038.846492	0.749369061	7.86E-21	0.87826006	1.30E-28	1.00021585	1.73E-37	0.104966137	0.230544202	0.109503163	0.231070383
BB_A65	BB_A65	NA	S	NA	up-nymphs-DMCs	up	NA	NA	NA	FALSE	3785.023371	1.920566022	7.86E-21	2.224078608	3.95E-28	2.913913756	2.40E-48	0.133016621	0.284982	0.591292386	0.002307135
BB_A38	BB_A38	BP	NA	NA	down-DMCs	NA	down	down	down	FALSE	1776.694979	-0.997024433	7.11E-19	-1.02693276	4.76E-20	-1.226442377	1.34E-28	-0.017388337	0.88728313	-0.167622338	0.167769692
BB_0241	glpK	MT	NA	down	down-DMCs	up	NA	up	NA	FALSE	40577.39709	1.06171287	1.05E-17	1.86093656	1.72E-53	2.837433007	2.35E-126	0.75483247	2.51E-08	0.958276795	3.95E-15
BB_0240	BB_0240	TP	NA	down	down-DMCs	up	NA	up	up	FALSE	18585.91157	1.065811779	1.24E-17	1.774998895	1.43E-47	2.778324247	3.94E-117	0.658031172	1.93E-06	0.972987562	3.87E-15
BB_B06	chbB	NA	NA	NA	NA	up	NA	NA	NA	FALSE	1489.921222	0.795710186	1.11E-16	0.493999859	5.65E-07	0.147215385	0.172242749	-0.262171906	0.010421906	-0.337851965	0.000673879
BB_M28	BB_M28	NA	S	up	up-nymphs-DMCs	up	NA	NA	NA	FALSE	609.3181001	1.804710754	2.41E-16	2.287163872	7.72E-26	3.244846442	3.47E-52	0.279257052	0.085089646	0.864814335	3.06E-05
BB_0323	BB_0323	NA	P	NA	NA	up	NA	NA	NA	FALSE	15359.69325	0.555588427	7.01E-16	0.343380025	1.31E-06	0.94108105	3.80E-45	-0.193615282	0.011076368	0.586355538	1.77E-17
BB_A66	BB_A66	NA	S	up	up-nymphs-DMCs	up	NA	NA	NA	FALSE	29571.99004	1.694836211	7.07E-16	2.022082052	3.52E-22	2.788142371	2.40E-42	0.142711792	0.263436878	0.662378435	0.000955286
